mes_numero,dia_numero,tipo_dia,lectura_biblica,versiculo_diario
1,1,"NORMAL","Salmos 90:1-12",""
1,2,"NORMAL","Hechos 4:23-31",""
1,3,"DOMINGO","","Reflexión: El poder de un fundamento sólido en la Palabra."
1,4,"NORMAL","2 Timoteo 3:10-17",""
1,5,"NORMAL","Juan 14:15-26",""
1,6,"NORMAL","Mateo 25:14-30",""
1,7,"NORMAL","Filipenses 4:4-9",""
1,8,"NORMAL","Éxodo 14:1-14",""
1,9,"NORMAL","1 Pedro 2:1-10",""
1,10,"DOMINGO","","Reflexión: La unidad de la Iglesia como motor de crecimiento."
1,11,"NORMAL","Colosenses 3:1-11",""
1,12,"NORMAL","Isaías 58:6-12",""
1,13,"NORMAL","Romanos 12:9-21",""
1,14,"NORMAL","Gálatas 5:22-26",""
1,15,"NORMAL","2 Corintios 5:17-21",""
1,16,"NORMAL","Proverbios 4:20-27",""
1,17,"DOMINGO","","Reflexión: Preparando el corazón para la siembra y la cosecha."
1,18,"NORMAL","Hebreos 12:1-13",""
1,19,"NORMAL","Santiago 1:19-27",""
1,20,"NORMAL","1 Tesalonicenses 5:12-22",""
1,21,"NORMAL","Lucas 10:25-37",""
1,22,"NORMAL","Efesios 4:1-6",""
1,23,"NORMAL","Hechos 2:42-47",""
1,24,"DOMINGO","","Reflexión: Liderazgo de servicio y multiplicación."
1,25,"NORMAL","Romanos 10:9-17",""
1,26,"NORMAL","Hebreos 4:12-16",""
1,27,"NORMAL","Salmos 119:105-112",""
1,28,"NORMAL","Jeremías 29:11-14",""
1,29,"NORMAL","Malaquías 3:10-12",""
1,30,"NORMAL","Hechos 13:4-12",""
1,31,"NORMAL","Mateo 6:19-24",""
2,1,"NORMAL","Efesios 1:15-23",""
2,2,"NORMAL","Santiago 3:13-18",""
2,3,"NORMAL","Proverbios 2:1-11",""
2,4,"NORMAL","1 Corintios 1:18-31",""
2,5,"NORMAL","Juan 16:12-15",""
2,6,"NORMAL","Romanos 12:1-3",""
2,7,"DOMINGO","","Reflexión: La Sabiduría de Dios para los Negocios y la Familia."
2,8,"NORMAL","Isaías 11:2-5",""
2,9,"NORMAL","Colosenses 2:2-3",""
2,10,"NORMAL","Proverbios 8:12-21",""
2,11,"NORMAL","1 Reyes 3:5-14",""
2,12,"NORMAL","Efesios 5:15-17",""
2,13,"NORMAL","Salmos 14:1-7",""
2,14,"DOMINGO","","Reflexión: La Ciencia del Reino y su aplicación práctica."
2,15,"NORMAL","Jeremías 9:23-24",""
2,16,"NORMAL","Hechos 6:1-7",""
2,17,"NORMAL","Lucas 6:46-49",""
2,18,"NORMAL","Proverbios 16:16-24",""
2,19,"NORMAL","2 Timoteo 2:7-13",""
2,20,"NORMAL","Santiago 5:13-18",""
2,21,"DOMINGO","","Reflexión: Entendimiento y Espíritu de Consejo para el liderazgo."
2,22,"NORMAL","Daniel 2:20-23",""
2,23,"NORMAL","Proverbios 3:13-18",""
2,24,"NORMAL","Eclesiastés 7:11-12",""
2,25,"NORMAL","Salmos 111:10",""
2,26,"NORMAL","Mateo 7:24-27",""
2,27,"NORMAL","Gálatas 6:7-10",""
2,28,"NORMAL","Romanos 11:33-36",""
3,1,"NORMAL","Romanos 10:11-17",""
3,2,"NORMAL","2 Timoteo 4:1-5",""
3,3,"NORMAL","Marcos 16:15-18",""
3,4,"NORMAL","Isaías 6:8-10",""
3,5,"NORMAL","Hechos 8:26-38",""
3,6,"NORMAL","Mateo 9:35-38",""
3,7,"DOMINGO","","Reflexión: La urgencia de la Gran Comisión."
3,8,"NORMAL","Juan 4:31-38",""
3,9,"NORMAL","1 Corintios 9:19-23",""
3,10,"NORMAL","Hechos 13:1-3",""
3,11,"NORMAL","Lucas 19:1-10",""
3,12,"NORMAL","Romanos 1:16-17",""
3,13,"NORMAL","Hechos 2:37-41",""
3,14,"DOMINGO","","Reflexión: El Espíritu Santo como capacitador para el testimonio."
3,15,"NORMAL","2 Corintios 4:3-6",""
3,16,"NORMAL","Hechos 17:16-34",""
3,17,"NORMAL","1 Pedro 3:15-17",""
3,18,"NORMAL","Juan 3:16-21",""
3,19,"NORMAL","Jeremías 1:4-10",""
3,20,"NORMAL","Ezequiel 3:17-21",""
3,21,"DOMINGO","","Reflexión: Superando el temor y la vergüenza al predicar."
3,22,"NORMAL","Salmos 96:1-13",""
3,23,"NORMAL","Apocalipsis 22:16-17",""
3,24,"NORMAL","Hechos 14:19-28",""
3,25,"NORMAL","Lucas 10:1-12",""
3,26,"NORMAL","Mateo 28:18-20",""
3,27,"NORMAL","Hechos 20:24-38",""
3,28,"DOMINGO","","Reflexión: El fruto de la obediencia en el evangelismo."
3,29,"NORMAL","2 Corintios 5:18-20",""
3,30,"NORMAL","Isaías 49:6-7",""
3,31,"NORMAL","Hechos 11:19-26",""
4,1,"NORMAL","Hechos 6:1-7",""
4,2,"NORMAL","Éxodo 18:13-26",""
4,3,"NORMAL","Nehemías 2:11-20",""
4,4,"DOMINGO","","Reflexión: La selección y capacitación de hombres fieles."
4,5,"NORMAL","1 Timoteo 3:1-13",""
4,6,"NORMAL","Tito 1:5-9",""
4,7,"NORMAL","Proverbios 11:14",""
4,8,"NORMAL","2 Timoteo 2:14-19",""
4,9,"NORMAL","Romanos 12:4-8",""
4,10,"NORMAL","1 Pedro 5:1-4",""
4,11,"DOMINGO","","Reflexión: El liderazgo es influencia, no posición."
4,12,"NORMAL","Jeremías 3:15",""
4,13,"NORMAL","Mateo 20:25-28",""
4,14,"NORMAL","Marcos 10:42-45",""
4,15,"NORMAL","Filipenses 2:3-8",""
4,16,"NORMAL","Hechos 20:28-31",""
4,17,"NORMAL","1 Tesalonicenses 5:12-13",""
4,18,"DOMINGO","","Reflexión: La humildad como marca del verdadero siervo."
4,19,"NORMAL","Juan 10:11-18",""
4,20,"NORMAL","Efesios 4:11-16",""
4,21,"NORMAL","Hechos 14:21-23",""
4,22,"NORMAL","2 Corintios 10:4-6",""
4,23,"NORMAL","Proverbios 27:17",""
4,24,"NORMAL","Hebreos 13:7",""
4,25,"DOMINGO","","Reflexión: La multiplicación del ministerio y la delegación."
4,26,"NORMAL","Hechos 15:1-21",""
4,27,"NORMAL","Gálatas 6:1-5",""
4,28,"NORMAL","Lucas 22:24-27",""
4,29,"NORMAL","1 Corintios 11:1",""
4,30,"NORMAL","Juan 13:12-17",""
5,1,"NORMAL","Marcos 16:17-18",""
5,2,"NORMAL","Santiago 5:14-16",""
5,3,"NORMAL","Mateo 8:14-17",""
5,4,"NORMAL","Salmos 103:1-5",""
5,5,"NORMAL","Éxodo 15:26",""
5,6,"NORMAL","3 Juan 1:2",""
5,7,"NORMAL","Hechos 3:1-10",""
5,8,"NORMAL","Marcos 1:40-45",""
5,9,"DOMINGO","","Reflexión: La fe y la sanidad divina en el ministerio."
5,10,"NORMAL","Jeremías 30:17",""
5,11,"NORMAL","Salmos 41:1-3",""
5,12,"NORMAL","Romanos 8:11",""
5,13,"NORMAL","Mateo 9:1-8",""
5,14,"NORMAL","Proverbios 4:20-22",""
5,15,"NORMAL","Lucas 4:18-19",""
5,16,"NORMAL","Juan 10:10",""
5,17,"DOMINGO","","Reflexión: Sanidad integral (cuerpo, alma y espíritu)."
5,18,"NORMAL","Isaías 41:10",""
5,19,"NORMAL","Isaías 58:8-9",""
5,20,"NORMAL","Hechos 9:32-35",""
5,21,"NORMAL","Lucas 13:10-17",""
5,22,"NORMAL","Gálatas 3:13-14",""
5,23,"NORMAL","Hechos 4:29-31",""
5,24,"DOMINGO","","Reflexión: La liberación de opresión y enfermedades crónicas."
5,25,"NORMAL","Juan 5:1-9",""
5,26,"NORMAL","Salmos 34:17-20",""
5,27,"NORMAL","Mateo 15:29-31",""
5,28,"NORMAL","1 Pedro 2:24",""
5,29,"NORMAL","Mateo 10:7-8",""
5,30,"NORMAL","Apocalipsis 21:4",""
5,31,"NORMAL","Juan 11:40",""
6,1,"NORMAL","Éxodo 20:12",""
6,2,"NORMAL","Proverbios 3:9-10",""
6,3,"NORMAL","1 Timoteo 5:17-18",""
6,4,"NORMAL","Filipenses 2:3-4",""
6,5,"NORMAL","Romanos 13:7",""
6,6,"DOMINGO","","Reflexión: La Honra a Dios con nuestros bienes."
6,7,"NORMAL","1 Corintios 4:15-16",""
6,8,"NORMAL","Proverbios 27:18",""
6,9,"NORMAL","Hebreos 13:7",""
6,10,"NORMAL","2 Reyes 2:9-15",""
6,11,"NORMAL","Efesios 6:1-3",""
