mes_numero,nombre,tema_mes,versiculo_mes
1,"ENERO","El Fundamento Apostólico","Así que ya no sois extranjeros ni advenedizos, sino conciudadanos de los santos, y miembros de la familia de Dios. Efesios 2:19"
2,"FEBRERO","El Espíritu de Sabiduría","Y manifiéstese en nosotros la hermosura de Jehová nuestro Dios; y la obra de nuestras manos confirma sobre nosotros; sí, la obra de nuestras manos confirma. Salmos 90:17"
3,"MARZO","El Fuego del Evangelismo","Pero recibiréis poder, cuando haya venido sobre vosotros el Espíritu Santo, y me seréis testigos en Jerusalén, en toda Judea, en Samaria, y hasta lo último de la tierra. Hechos 1:8"
4,"ABRIL","Desarrollo de Liderazgo","Lo que has oído de mí ante muchos testigos, esto encarga a hombres fieles que sean idóneos para enseñar también a otros. 2 Timoteo 2:2"
5,"MAYO","Sanidad y Restauración","Mas él herido fue por nuestras rebeliones, molido por nuestros pecados; el castigo de nuestra paz fue sobre él, y por su llaga fuimos nosotros curados. Isaías 53:5"
6,"JUNIO","Honra y Paternidad","Amaos los unos a los otros con amor fraternal; en cuanto a honra, prefiriéndoos los unos a los otros. Romanos 12:10"
7,"JULIO","Guerra Espiritual y Victoria","Porque las armas de nuestra milicia no son carnales, sino poderosas en Dios para la destrucción de fortalezas. 2 Corintios 10:4"
8,"AGOSTO","Finanzas del Reino","El que siembra escasamente, también segará escasamente; y el que siembra generosamente, generosamente también segará. 2 Corintios 9:6"
9,"SEPTIEMBRE","La Oración Ferviente","La oración eficaz del justo puede mucho. Santiago 5:16"
10,"OCTUBRE","Excelencia en el Servicio","Todo lo que te viniere a la mano para hacer, hazlo según tus fuerzas. Eclesiastés 9:10"
11,"NOVIEMBRE","La Vida en Comunidad","Mirad cuán bueno y cuán delicioso es habitar los hermanos juntos en armonía! Salmos 133:1"
12,"DICIEMBRE","Visión y Futuro","Donde no hay visión, el pueblo se desenfrena; mas el que guarda la ley es bienaventurado. Proverbios 29:18"
