mes_numero,nombre,tema_mes,versiculo_mes
1,"ENERO","Cimentando la Base","Si la fe tuviereis como un grano de mostaza. Mateo 17:20"
2,"FEBRERO","Crecimiento en la Oración","Pedid, y se os dará; buscad, y hallaréis; llamad, y se os abrirá. Mateo 7:7"
3,"MARZO","Servicio con Excelencia","Todo lo que te viniere a la mano para hacer, hazlo según tus fuerzas. Eclesiastés 9:10"
4,"ABRIL","Finanzas Bajo Principio","El que siembra generosamente, generosamente también segará. 2 Corintios 9:6"
5,"MAYO","Visión y Propósito","Donde no hay visión, el pueblo se desenfrena; mas el que guarda la ley es bienaventurado. Proverbios 29:18"
6,"JUNIO","Paz en la Familia","...Y a Jehová serviréis a él y a su casa. Josué 24:15"
7,"JULIO","El Poder del Espíritu Santo","Y seréis bautizados con el Espíritu Santo dentro de no muchos días. Hechos 1:5"
8,"AGOSTO","Identidad y Autoridad","Todo lo puedo en Cristo que me fortalece. Filipenses 4:13"
9,"SEPTIEMBRE","La Adoración y Alabanza","Buscad a Jehová y su poder; buscad siempre su rostro. 1 Crónicas 16:11"
10,"OCTUBRE","Relaciones y Unidad","Mirad cuán bueno y cuán delicioso es habitar los hermanos juntos en armonía! Salmos 133:1"
11,"NOVIEMBRE","Vida con Propósito","Porque somos hechura suya, creados en Cristo Jesús para buenas obras... Efesios 2:10"
12,"DICIEMBRE","La Cosecha y el Legado","De cierto, de cierto os digo, que el que en mí cree, las obras que yo hago, él las hará también; y aun mayores hará... Juan 14:12"
